0.896981,0.725628,0.175404,0.701694
0.889356,0.499588,0.539269,0.508783
0.250946,0.033693,0.145380,0.494932
0.346962,0.006250,0.760564,0.613024
0.124871,0.129770,0.384400,0.287076
0.801303,0.500231,0.706645,0.195103
0.247708,0.060445,0.042186,0.441324
0.746702,0.757092,0.369353,0.206566
0.400665,0.072574,0.886768,0.243842
0.626071,0.586751,0.438806,0.778858
0.957135,0.597644,0.766114,0.776210
0.732812,0.145250,0.476813,0.133366
0.655115,0.072392,0.687152,0.081517
0.219734,0.832031,0.482864,0.082569
0.488594,0.211965,0.939178,0.376192
0.167130,0.876555,0.217240,0.959801
0.216911,0.166086,0.241372,0.770062
0.387488,0.804532,0.751795,0.723827
0.985622,0.666933,0.156783,0.856535
0.037825,0.664853,0.161982,0.253924
0.683486,0.902770,0.335420,0.999483
0.170347,0.756959,0.276520,0.531231
0.859657,0.919592,0.206139,0.097797
0.282138,0.505987,0.530531,0.096302
0.326076,0.472367,0.453192,0.105887
0.948389,0.894513,0.851638,0.552196
0.664955,0.046566,0.116777,0.793718
0.577766,0.428772,0.425826,0.249007
0.738613,0.482103,0.709366,0.503970
0.854811,0.493965,0.735310,0.808092
0.912533,0.052672,0.771239,0.219812
