0.604994,0.292215,0.908453,0.355506,0.201669,0.575338,0.310311,0.734281
0.178007,0.566223,0.994862,0.210325,0.320153,0.707909,0.635384,0.107132
0.009077,0.811626,0.520520,0.075687,0.265112,0.091652,0.592415,0.367320
0.506028,0.653730,0.363411,0.177981,0.093728,0.197425,0.755827,0.292472
0.359909,0.249076,0.495997,0.709215,0.114987,0.289207,0.557295,0.593882
0.778818,0.003419,0.337983,0.519528,0.820907,0.537247,0.551347,0.660032
0.908649,0.062250,0.238260,0.766604,0.132336,0.990244,0.688068,0.742496
0.586371,0.880736,0.745021,0.546035,0.009649,0.748992,0.230907,0.097916
0.761137,0.854672,0.382124,0.337352,0.689708,0.309853,0.631380,0.041956
0.984933,0.699506,0.998885,0.180148,0.580143,0.231087,0.490827,0.313683
0.112071,0.437736,0.596599,0.592776,0.226982,0.410105,0.921238,0.674753
0.791888,0.576191,0.694528,0.283424,0.136755,0.279162,0.842767,0.625328
0.143550,0.937415,0.232325,0.009043,0.414579,0.409325,0.553779,0.205841
0.769917,0.458759,0.559000,0.694604,0.503199,0.728346,0.784254,0.663131
0.056447,0.065956,0.022929,0.038786,0.403935,0.801055,0.488307,0.893085
0.862437,0.482734,0.281869,0.544102,0.887490,0.382655,0.601902,0.476462
0.351512,0.590065,0.909436,0.678408,0.212826,0.088460,0.410153,0.195724
0.735904,0.034612,0.728030,0.147427,0.295743,0.445117,0.975180,0.374340
0.680294,0.255105,0.862188,0.134396,0.326329,0.287907,0.435010,0.364200
0.044329,0.013581,0.258198,0.577644,0.051280,0.158563,0.591030,0.077953
0.778345,0.751146,0.314142,0.902986,0.335382,0.386323,0.748972,0.988755
0.898887,0.523642,0.876783,0.218696,0.900261,0.282766,0.911078,0.472398
0.145120,0.119328,0.420888,0.387609,0.155423,0.875172,0.510560,0.728611
0.338954,0.566932,0.376751,0.098916,0.659452,0.245548,0.762483,0.732153
0.176150,0.293961,0.975680,0.793936,0.923401,0.030842,0.803255,0.595898
0.028947,0.028279,0.481372,0.613175,0.672660,0.022113,0.601483,0.524885
0.192640,0.630677,0.416796,0.490529,0.796086,0.654567,0.276241,0.295518
0.943185,0.218851,0.721184,0.424597,0.986902,0.535183,0.714743,0.960094
0.532721,0.833693,0.071399,0.116811,0.730693,0.937376,0.866508,0.127902
0.447096,0.843953,0.729546,0.639151,0.409287,0.132646,0.035909,0.446838
0.382225,0.557136,0.853102,0.333796,0.265721,0.480873,0.237647,0.768632
0.532820,0.862308,0.538267,0.049443,0.719701,0.906706,0.108231,0.525348
0.394865,0.331802,0.740754,0.697862,0.737404,0.783777,0.254495,0.871146
0.985945,0.873054,0.070393,0.053587,0.734153,0.520259,0.811040,0.103360
0.964573,0.973980,0.663753,0.662216,0.673122,0.905238,0.458875,0.560918
0.472071,0.168203,0.086428,0.452656,0.480619,0.622439,0.928974,0.112536
0.856007,0.638894,0.326192,0.668503,0.240298,0.210299,0.167546,0.963590
0.810032,0.635046,0.269548,0.869605,0.661922,0.252259,0.765670,0.890549
0.796253,0.007037,0.355697,0.487566,0.740520,0.706650,0.992914,0.381734
0.481245,0.102461,0.219486,0.677322,0.247509,0.244341,0.163825,0.715962
0.061447,0.062956,0.029929,0.036786,0.407935,0.795055,0.496307,0.888085
