0.191447,0.038193,0.607418,0.414584
0.758653,0.536518,0.656000,0.360342
0.438350,0.804340,0.210245,0.151295
0.706051,0.534192,0.264243,0.482088
0.836478,0.193610,0.663893,0.785649
0.683432,0.118663,0.829046,0.567577
0.553621,0.667350,0.323806,0.814870
0.352356,0.322242,0.116979,0.473113
0.153786,0.729382,0.422598,0.443074
0.463442,0.630025,0.107906,0.957644
0.677491,0.358510,0.479592,0.072880
0.583973,0.147243,0.348097,0.428615
0.306889,0.316878,0.622634,0.095399
0.511142,0.817957,0.728710,0.112354
0.438933,0.774092,0.378167,0.933696
0.224189,0.846480,0.879484,0.878516
0.725262,0.479870,0.088947,0.759760
0.355482,0.639619,0.417618,0.122604
0.119879,0.862540,0.643331,0.849804
0.126885,0.153430,0.770162,0.190518
0.234189,0.836480,0.884484,0.873516
